30	88				
A	0	2	0	60	6
A	2	0	60	0	6
A	2	5	60	120	6
A	5	2	120	60	6
A	5	9	120	170	5
A	9	5	170	120	5
B	0	1	0	80	8
B	1	0	80	0	8
B	1	3	80	150	7
B	3	1	150	80	7
C	2	4	0	80	8
C	4	2	80	0	8
C	4	6	80	150	7
C	6	4	150	80	7
D	1	4	0	60	6
D	4	1	60	0	6
D	4	7	60	90	3
D	7	4	90	60	3
D	7	8	90	120	3
D	8	7	120	90	3
E	5	8	0	80	8
E	8	5	80	0	8
F	9	11	0	40	4
F	11	9	40	0	4
F	11	14	40	110	7
F	14	11	110	40	7
G	3	6	0	60	6
G	6	3	60	0	6
G	6	10	60	90	3
G	10	6	90	60	3
G	10	13	90	140	5
G	13	10	140	90	5
G	13	18	140	200	6
G	18	13	200	140	6
G	18	23	200	250	5
G	23	18	250	200	5
G	23	27	250	310	6
G	27	23	310	250	6
H	7	10	0	70	7
H	10	7	70	0	7
H	10	12	70	120	5
H	12	10	120	70	5
H	12	16	120	180	6
H	16	12	180	120	6
I	13	17	0	50	5
I	17	13	50	0	5
I	17	21	50	110	6
I	21	17	110	50	6
J	12	17	0	50	5
J	17	12	50	0	5
J	17	22	50	110	6
J	22	17	110	50	6
J	22	26	110	160	5
J	26	22	160	110	5
J	26	29	160	220	6
J	29	26	220	160	6
K	16	21	0	50	5
K	21	16	50	0	5
K	21	25	50	110	6
K	25	21	110	50	6
K	25	28	110	220	11
K	28	25	220	110	11
L	18	22	0	50	5
L	22	18	50	0	5
L	22	25	50	110	6
L	25	22	110	50	6
M	15	19	0	70	7
M	19	15	70	0	7
M	19	23	70	110	4
M	23	19	110	70	4
M	23	26	110	160	5
M	26	23	160	110	5
N	11	15	0	80	8
N	15	11	80	0	8
N	15	20	80	140	6
N	20	15	140	80	6
O	14	19	0	80	8
O	19	14	80	0	8
O	19	24	80	140	6
O	24	19	140	80	6
P	28	29	0	60	6
P	29	28	60	0	6
P	20	24	60	70	1
P	24	20	70	60	1
P	24	27	70	110	4
P	27	24	110	70	4
P	27	29	110	160	5
P	29	27	160	110	5
